syntagme,A,B,relation,split,det,definitude,ambigu,candidats
poème d'amour,poème,amour,r_topic,test,NoDet,NoDef,non,
conte de fées,conte,fées,r_topic,test,NoDet,NoDef,non,
histoire de fantômes,histoire,fantômes,r_topic,test,NoDet,NoDef,non,
récit d'enfance,récit,enfance,r_topic,test,NoDet,NoDef,non,
cours de yoga,cours,yoga,r_topic,test,NoDet,NoDef,non,
séance de méditation,séance,méditation,r_topic,test,NoDet,NoDef,non,
centre de formation,centre,formation,r_topic,test,NoDet,NoDef,non,
agence de publicité,agence,publicité,r_topic,test,NoDet,NoDef,non,
bureau d'études,bureau,études,r_topic,test,NoDet,NoDef,non,
comité d'éthique,comité,éthique,r_topic,test,NoDet,NoDef,non,
groupe de discussion,groupe,discussion,r_topic,test,NoDet,NoDef,non,
championnat de natation,championnat,natation,r_topic,test,NoDet,NoDef,non,
leçon de conduite,leçon,conduite,r_topic,test,NoDet,NoDef,non,
permis de chasse,permis,chasse,r_topic,test,NoDet,NoDef,non,
ministère de l'Éducation,ministère,Éducation,r_topic,test,Det,Def,non,
brochure de prévention,brochure,prévention,r_topic,test,NoDet,NoDef,non,
