syntagme,A,B,relation,split,det,definitude,ambigu,candidats
aiguille de couture,aiguille,couture,r_processus>instr-1,train,NoDet,NoDef,non,
métier de tissage,métier,tissage,r_processus>instr-1,train,NoDet,NoDef,non,
gants de jardinage,gants,jardinage,r_processus>instr-1,train,NoDet,NoDef,non,
balai de ménage,balai,ménage,r_processus>instr-1,train,NoDet,NoDef,non,
règle de calcul,règle,calcul,r_processus>instr-1,train,NoDet,NoDef,non,
stylo d'écriture,stylo,écriture,r_processus>instr-1,train,NoDet,NoDef,non,
crayon de dessin,crayon,dessin,r_processus>instr-1,train,NoDet,NoDef,non,
écran de projection,écran,projection,r_processus>instr-1,train,NoDet,NoDef,non,
micro d'enregistrement,micro,enregistrement,r_processus>instr-1,train,NoDet,NoDef,non,
grille de ventilation,grille,ventilation,r_processus>instr-1,train,NoDet,NoDef,non,
embout d'aspiration,embout,aspiration,r_processus>instr-1,train,NoDet,NoDef,non,
badge d'accès,badge,accès,r_processus>instr-1,train,NoDet,NoDef,non,
clé de la porte,clé,porte,r_processus>instr-1,train,Det,Def,non,
télécommande du portail,télécommande,portail,r_processus>instr-1,train,Det,Def,non,
clé du cadenas,clé,cadenas,r_processus>instr-1,train,Det,Def,non,
code du coffre,code,coffre,r_processus>instr-1,train,Det,Def,non,
ciseaux d'élagage,ciseaux,élagage,r_processus>instr-1,test,NoDet,NoDef,non,
clou de fixation,clou,fixation,r_processus>instr-1,test,NoDet,NoDef,non,
vis d'assemblage,vis,assemblage,r_processus>instr-1,test,NoDet,NoDef,non,
agrafe de reliure,agrafe,reliure,r_processus>instr-1,test,NoDet,NoDef,non,
louche de service,louche,service,r_processus>instr-1,test,NoDet,NoDef,non,
verre de dégustation,verre,dégustation,r_processus>instr-1,test,NoDet,NoDef,non,
tire-bouchon de la bouteille,tire-bouchon,bouteille,r_processus>instr-1,test,Det,Def,non,
ouvre-boîte de conserve,ouvre-boîte,conserve,r_processus>instr-1,test,NoDet,NoDef,non,
essoreuse de salade,essoreuse,salade,r_processus>instr-1,test,NoDet,NoDef,non,
planche de découpe,planche,découpe,r_processus>instr-1,test,NoDet,NoDef,non,
mortier de broyage,mortier,broyage,r_processus>instr-1,test,NoDet,NoDef,non,
passoire d'égouttage,passoire,égouttage,r_processus>instr-1,test,NoDet,NoDef,non,
entonnoir de remplissage,entonnoir,remplissage,r_processus>instr-1,test,NoDet,NoDef,non,
seringue d'injection,seringue,injection,r_processus>instr-1,test,NoDet,NoDef,non,
stéthoscope d'auscultation,stéthoscope,auscultation,r_processus>instr-1,test,NoDet,NoDef,non,
scalpel d'incision,scalpel,incision,r_processus>instr-1,test,NoDet,NoDef,non,
attelle d'immobilisation,attelle,immobilisation,r_processus>instr-1,test,NoDet,NoDef,non,
béquille de marche,béquille,marche,r_processus>instr-1,test,NoDet,NoDef,non,
lunettes de lecture,lunettes,lecture,r_processus>instr-1,test,NoDet,NoDef,non,
loupe d'observation,loupe,observation,r_processus>instr-1,test,NoDet,NoDef,non,
microscope d'analyse,microscope,analyse,r_processus>instr-1,test,NoDet,NoDef,non,
tamis de filtration,tamis,filtration,r_processus>instr-1,test,NoDet,NoDef,non,
pipette de dosage,pipette,dosage,r_processus>instr-1,test,NoDet,NoDef,non,
éprouvette de titrage,éprouvette,titrage,r_processus>instr-1,test,NoDet,NoDef,non,
détecteur de fumée,détecteur,fumée,r_processus>instr-1,test,NoDet,NoDef,non,
extincteur d'incendie,extincteur,incendie,r_processus>instr-1,test,NoDet,NoDef,non,
alarme d'intrusion,alarme,intrusion,r_processus>instr-1,test,NoDet,NoDef,non,
caméra de surveillance,caméra,surveillance,r_processus>instr-1,test,NoDet,NoDef,non,
radar de contrôle,radar,contrôle,r_processus>instr-1,test,NoDet,NoDef,non,
sonde de température,sonde,température,r_processus>instr-1,test,NoDet,NoDef,non,
