syntagme,A,B,relation,split,det,definitude,ambigu,candidats
vignobles de Bourgogne,vignobles,Bourgogne,r_lieu,train,NoDet,Def,non,
oliveraies de Toscane,oliveraies,Toscane,r_lieu,train,NoDet,Def,non,
rizières de Bali,rizières,Bali,r_lieu,train,NoDet,Def,non,
mines du Chili,mines,Chili,r_lieu,train,Det,Def,non,
quartier de Montmartre,quartier,Montmartre,r_lieu,train,NoDet,Def,non,
gare de Lyon,gare,Lyon,r_lieu,train,NoDet,Def,non,
aéroport d'Orly,aéroport,Orly,r_lieu,train,NoDet,Def,non,
bibliothèque d'Alexandrie,bibliothèque,Alexandrie,r_lieu,train,NoDet,Def,non,
musée du Caire,musée,Caire,r_lieu,train,Det,Def,non,
casino de Monaco,casino,Monaco,r_lieu,train,NoDet,Def,non,
souk de Marrakech,souk,Marrakech,r_lieu,train,NoDet,Def,non,
bazar d'Istanbul,bazar,Istanbul,r_lieu,train,NoDet,Def,non,
carnaval de Rio,carnaval,Rio,r_lieu,train,NoDet,Def,non,
festival d'Avignon,festival,Avignon,r_lieu,train,NoDet,Def,non,
embouteillages de Bangkok,embouteillages,Bangkok,r_lieu,train,NoDet,Def,non,
brouillard de Londres,brouillard,Londres,r_lieu,train,NoDet,Def,non,
canicule de Séville,canicule,Séville,r_lieu,train,NoDet,Def,non,
mousson de Mumbai,mousson,Mumbai,r_lieu,train,NoDet,Def,non,
séisme de Kobe,séisme,Kobe,r_lieu,train,NoDet,Def,non,
incendies de Californie,incendies,Californie,r_lieu,train,NoDet,Def,non,
hiver de Sibérie,hiver,Sibérie,r_lieu,train,NoDet,Def,non,
nuits de Saint-Pétersbourg,nuits,Saint-Pétersbourg,r_lieu,train,NoDet,Def,non,
rues de Naples,rues,Naples,r_lieu,train,NoDet,Def,non,
toits de Paris,toits,Paris,r_lieu,train,NoDet,Def,non,
temple de Kyoto,temple,Kyoto,r_lieu,test,NoDet,Def,non,
pyramides de Gizeh,pyramides,Gizeh,r_lieu,test,NoDet,Def,non,
muraille de Chine,muraille,Chine,r_lieu,test,NoDet,Def,non,
colisée de Rome,colisée,Rome,r_lieu,test,NoDet,Def,non,
palais de Versailles,palais,Versailles,r_lieu,test,NoDet,Def,non,
jardins de Villandry,jardins,Villandry,r_lieu,test,NoDet,Def,non,
phare de Cordouan,phare,Cordouan,r_lieu,test,NoDet,Def,non,
abbaye du Mont-Saint-Michel,abbaye,Mont-Saint-Michel,r_lieu,test,Det,Def,non,
château de Chambord,château,Chambord,r_lieu,test,NoDet,Def,non,
canaux de Venise,canaux,Venise,r_lieu,test,NoDet,Def,non,
ruelles de Lisbonne,ruelles,Lisbonne,r_lieu,test,NoDet,Def,non,
collines du Rwanda,collines,Rwanda,r_lieu,test,Det,Def,non,
désert du Nevada,désert,Nevada,r_lieu,test,Det,Def,non,
plaines du Midwest,plaines,Midwest,r_lieu,test,Det,Def,non,
bayous de Louisiane,bayous,Louisiane,r_lieu,test,NoDet,Def,non,
geysers d'Islande,geysers,Islande,r_lieu,test,NoDet,Def,non,
aurores de Laponie,aurores,Laponie,r_lieu,test,NoDet,Def,non,
banquise de l'Arctique,banquise,Arctique,r_lieu,test,Det,Def,non,
cascades d'Iguazu,cascades,Iguazu,r_lieu,test,NoDet,Def,non,
grottes de Lascaux,grottes,Lascaux,r_lieu,test,NoDet,Def,non,
thermes de Bath,thermes,Bath,r_lieu,test,NoDet,Def,non,
canaux d'Amsterdam,canaux,Amsterdam,r_lieu,test,NoDet,Def,non,
tramway de Bordeaux,tramway,Bordeaux,r_lieu,test,NoDet,Def,non,
taxis de New York,taxis,New York,r_lieu,test,NoDet,Def,non,
gratte-ciels de Shanghai,gratte-ciels,Shanghai,r_lieu,test,NoDet,Def,non,
bidonvilles de Nairobi,bidonvilles,Nairobi,r_lieu,test,NoDet,Def,non,
favelas de Rio,favelas,Rio,r_lieu,test,NoDet,Def,non,
marchés de Hanoï,marchés,Hanoï,r_lieu,test,NoDet,Def,non,
pagodes de Bagan,pagodes,Bagan,r_lieu,test,NoDet,Def,non,
mosquées d'Ispahan,mosquées,Ispahan,r_lieu,test,NoDet,Def,non,
