syntagme,A,B,relation,split,det,definitude,ambigu,candidats
amertume de la défaite,amertume,défaite,r_has_causatif,train,Det,Def,non,
flaques de la pluie,flaques,pluie,r_has_causatif,train,Det,Def,non,
somnolence de l'anesthésie,somnolence,anesthésie,r_has_causatif,train,Det,Def,non,
blessures de guerre,blessures,guerre,r_has_causatif,test,NoDet,NoDef,non,
nuisances du chantier,nuisances,chantier,r_has_causatif,test,Det,Def,non,
exode du conflit,exode,conflit,r_has_causatif,test,Det,Def,non,
buée de la douche,buée,douche,r_has_causatif,test,Det,Def,non,
joie des retrouvailles,joie,retrouvailles,r_has_causatif,test,Det,Def,non,
tremblements de peur,tremblements,peur,r_has_causatif,test,NoDet,NoDef,non,
dommages de la grêle,dommages,grêle,r_has_causatif,test,Det,Def,non,
éblouissement des phares,éblouissement,phares,r_has_causatif,test,Det,Def,non,
remords d'une trahison,remords,trahison,r_has_causatif,test,Det,NoDef,non,
caries du sucre,caries,sucre,r_has_causatif,test,Det,Def,non,
ennui du confinement,ennui,confinement,r_has_causatif,test,Det,Def,non,
fissures du gel,fissures,gel,r_has_causatif,test,Det,Def,non,
sanctions d'une fraude,sanctions,fraude,r_has_causatif,test,Det,NoDef,non,
incendie d'un court-circuit,incendie,court-circuit,r_has_causatif,test,Det,NoDef,non,
paralysie de l'AVC,paralysie,AVC,r_has_causatif,test,Det,Def,non,
gerçures de l'hiver,gerçures,hiver,r_has_causatif,test,Det,Def,non,
vibrations du métro,vibrations,métro,r_has_causatif,test,Det,Def,non,
brouille du malentendu,brouille,malentendu,r_has_causatif,test,Det,Def,non,
détritus du festival,détritus,festival,r_has_causatif,test,Det,Def,non,
bronzage de l'été,bronzage,été,r_has_causatif,test,Det,Def,non,
traumatisme de l'attentat,traumatisme,attentat,r_has_causatif,test,Det,Def,non,
cicatrice de l'opération,cicatrice,opération,r_has_causatif,test,Det,Def,non,
gloire de la victoire,gloire,victoire,r_has_causatif,test,Det,Def,non,
conséquences d'une crise,conséquences,crise,r_has_causatif,test,Det,NoDef,non,
effets de l'alcool,effets,alcool,r_has_causatif,test,Det,Def,non,
patine du temps,patine,temps,r_has_causatif,test,Det,Def,non,
cécité du glaucome,cécité,glaucome,r_has_causatif,test,Det,Def,non,
suie de la combustion,suie,combustion,r_has_causatif,test,Det,Def,non,
nausées de la grossesse,nausées,grossesse,r_has_causatif,test,Det,Def,non,
retards de la circulation,retards,circulation,r_has_causatif,test,Det,Def,non,
